driverId,overperformer_delta,races
albers,0.4997023809523808,28
albon,1.1378855032317639,95
alguersuari,-0.2656511350059738,36
barrichello,0.23978764631445748,109
bottas,0.26952220861765813,212
bourdais,0.39999999999999947,20
bruno_senna,-0.7356363636363642,35
buemi,0.03908602150537614,40
chilton,-0.3435714285714282,32
coulthard,-0.06097883597883566,50
ericsson,-0.48554829179829156,74
fisichella,0.09444444444444448,70
gasly,0.5843667606567146,138
giovinazzi,0.09189958592132504,56
glock,0.07138510576644497,70
grosjean,0.2881539363607686,134
gutierrez,-1.001304347826087,46
heidfeld,0.3021872761643844,84
hulkenberg,0.35319950777065195,195
jolyon_palmer,-0.5964209401709398,26
jules_bianchi,0.3926530612244901,28
karthikeyan,-0.4480218855218856,33
kevin_magnussen,-0.09227754209544545,149
klien,-0.8273721340388003,21
kobayashi,0.38924931065464624,53
kovalainen,0.08907519683381715,91
kubica,0.268814109998881,85
kvyat,-0.6294262672529458,90
latifi,-1.0477487291212788,51
leclerc,0.1603822857169045,132
liuzzi,-0.2780515780515781,55
maldonado,-0.2561199047694605,67
massa,0.07084482086544616,207
mick_schumacher,0.19292826661247692,38
monteiro,-0.004741379310344803,29
nakajima,0.0025641025641026144,30
nasr,0.22865013774104725,33
ocon,-0.05156928942444139,139
perez,0.06708083578716541,244
petrov,-0.7417257683215127,47
piastri,1.7219785688063652e-16,49
pic,0.0277988614800762,30
ralf_schumacher,0.24893162393162377,39
resta,-0.1577517077517077,52
ricciardo,0.16054257512328074,215
rosa,-0.3429127704989779,30
russell,0.5341933600906681,118
sainz,0.07182411523108677,174
sargeant,-1.9166666666666672,30
sato,0.23997414350355528,35
stroll,-0.1557202657202658,150
sutil,0.014353486713037331,89
trulli,-0.2777268280753241,94
tsunoda,-0.5210989580293567,82
vandoorne,-7.314410515177502e-16,34
vergne,0.011725550435227758,45
villeneuve,-0.5704267681827283,23
webber,0.22107419712070872,129
wehrlein,0.6005692599620496,31
zhou,-0.4365079365079363,49
